index,Price
0,875169.5144265231
1,875169.5144265231
2,875169.5144265231
3,875169.5144265231
4,875169.5144265231
5,875169.5144265231
6,875169.5144265231
7,875169.5144265231
8,875169.5144265231
9,875169.5144265231
10,875169.5144265231
11,875169.5144265231
12,875169.5144265231
13,875169.5144265231
14,875169.5144265231
15,875169.5144265231
16,875169.5144265231
17,875169.5144265231
18,875169.5144265231
19,875169.5144265231
20,875169.5144265231
21,875169.5144265231
22,875169.5144265231
23,875169.5144265231
24,875169.5144265231
25,875169.5144265231
26,875169.5144265231
27,875169.5144265231
28,875169.5144265231
29,875169.5144265231
30,875169.5144265231
31,875169.5144265231
32,875169.5144265231
33,875169.5144265231
34,875169.5144265231
35,875169.5144265231
36,875169.5144265231
37,875169.5144265231
38,875169.5144265231
39,875169.5144265231
40,875169.5144265231
41,875169.5144265231
42,875169.5144265231
43,875169.5144265231
44,875169.5144265231
45,875169.5144265231
46,875169.5144265231
47,875169.5144265231
48,875169.5144265231
49,875169.5144265231
50,875169.5144265231
51,875169.5144265231
52,875169.5144265231
53,875169.5144265231
54,875169.5144265231
55,875169.5144265231
56,875169.5144265231
57,875169.5144265231
58,875169.5144265231
59,875169.5144265231
60,875169.5144265231
61,875169.5144265231
62,875169.5144265231
63,875169.5144265231
64,875169.5144265231
65,875169.5144265231
66,875169.5144265231
67,875169.5144265231
68,875169.5144265231
69,875169.5144265231
70,875169.5144265231
71,875169.5144265231
72,875169.5144265231
73,875169.5144265231
74,875169.5144265231
75,875169.5144265231
76,875169.5144265231
77,875169.5144265231
78,875169.5144265231
79,875169.5144265231
80,875169.5144265231
81,875169.5144265231
82,875169.5144265231
83,875169.5144265231
84,875169.5144265231
85,875169.5144265231
86,875169.5144265231
87,875169.5144265231
88,875169.5144265231
89,875169.5144265231
90,875169.5144265231
91,875169.5144265231
92,875169.5144265231
93,875169.5144265231
94,875169.5144265231
95,875169.5144265231
96,875169.5144265231
97,875169.5144265231
98,875169.5144265231
99,875169.5144265231
100,875169.5144265231
101,875169.5144265231
102,875169.5144265231
103,875169.5144265231
104,875169.5144265231
105,875169.5144265231
106,875169.5144265231
107,875169.5144265231
108,875169.5144265231
109,875169.5144265231
110,875169.5144265231
111,875169.5144265231
112,875169.5144265231
113,875169.5144265231
114,875169.5144265231
115,875169.5144265231
116,875169.5144265231
117,875169.5144265231
118,875169.5144265231
119,875169.5144265231
120,875169.5144265231
121,875169.5144265231
122,875169.5144265231
123,875169.5144265231
124,875169.5144265231
125,875169.5144265231
126,875169.5144265231
127,875169.5144265231
128,875169.5144265231
129,875169.5144265231
130,875169.5144265231
131,875169.5144265231
132,875169.5144265231
133,875169.5144265231
134,875169.5144265231
135,875169.5144265231
136,875169.5144265231
137,875169.5144265231
138,875169.5144265231
139,875169.5144265231
140,875169.5144265231
141,875169.5144265231
142,875169.5144265231
143,875169.5144265231
144,875169.5144265231
145,875169.5144265231
146,875169.5144265231
147,875169.5144265231
148,875169.5144265231
149,875169.5144265231
150,875169.5144265231
151,875169.5144265231
152,875169.5144265231
153,875169.5144265231
154,875169.5144265231
155,875169.5144265231
156,875169.5144265231
157,875169.5144265231
